번호,우선순위,구분,고려사항,핵심 질문,사용자 필수 결정,추천 방안,결정 시점
1,P0,제품/흐름,핵심 사용자 흐름,사용자가 앱을 열고 목표 행동까지 어떤 순서로 가는가?,예,학생: 오늘 확인 -> 바로 시작 -> 공부 중 -> 끝냈어요 -> 다음 행동. 부모: 안심 요약 -> 필요 시 조정 흐름을 대표 플로우로 둔다.,착수 전
2,P0,범위,MVP 범위와 제외 범위,이번 버전에 꼭 할 것과 미룰 것은 무엇인가?,예,"학생 오늘/공부 중/완료/하루 마감, 부모 안심/조정, 기본 계획 생성까지만 MVP로 고정하고 결제/고급 통계/AI 자유대화는 제외한다.",착수 전
3,P0,도메인,도메인 용어 정의,"필수/추가/남으면, 미션, 루틴, 계획의 의미가 고정되어 있는가?",예,07/06 문서의 용어를 기준으로 glossary를 유지하고 화면 문구와 코드 타입명을 맞춘다.,착수 전
4,P0,데이터,데이터 모델,주요 entity와 관계가 잡혀 있는가?,예,가족-사용자-학생-계획-미션-시간블록-알림 중심으로 Supabase 테이블 초안을 먼저 만든다.,착수 전
5,P0,상태,상태 전이,pending/in_progress/done/moved는 언제 바뀌는가?,예,미션 상태 전이표를 만들고 완료/멈춤/이동/되돌리기 가능 여부를 명시한다.,착수 전
6,P0,도메인 로직,계산 로직 기준,"남은 시간, 회복 가능, 오늘 계획 생성 기준은 무엇인가?",예,UI 안 계산 금지. domain/service 함수에서 계산하고 화면은 결과를 표시만 한다.,착수 전
7,P0,권한,권한과 역할,학생/부모가 각각 무엇을 할 수 있는가?,예,"학생은 시작/멈춤/완료/줄이기 요청, 부모는 계획 조정/알림/안심 확인 중심으로 분리한다.",착수 전
8,P0,데이터,저장/동기화 전략,로컬 상태와 DB 저장의 경계는?,예,MVP preview는 Supabase test DB에 저장하되 운영 데이터와 분리하고 낙관적 업데이트는 주요 버튼에만 적용한다.,착수 전
9,P1,인증,인증과 가족 연결 방식,부모와 학생 계정을 어떻게 묶는가?,예,초기에는 부모 계정이 가족을 만들고 학생 초대 코드/링크로 연결하는 방식을 우선 검토한다.,착수 전
10,P0,알림,알림 정책,언제 누구에게 어떤 톤으로 알릴 것인가?,예,"감시/처벌 금지. 학생은 다음 행동, 부모는 개입 필요 여부 중심. 실제 푸시는 MVP 후순위로 둔다.",착수 전
11,P1,상태,에러/빈 상태 처리,데이터가 없거나 실패하면 무엇을 보여주는가?,부분,빈 화면 대신 오늘 계획 만들기/가볍게 시작하기 CTA를 제공한다. 문구는 Codex가 초안 작성 후 사용자 확인.,구현 전
12,P0,검증,테스트 기준,어떤 로직과 화면을 어떻게 검증할 것인가?,부분,"도메인 계산은 단위 테스트, 주요 모바일 화면은 390px 캡처, 배포 전 lint/build를 필수로 둔다.",착수 전
13,P0,배포,배포/환경 구성,로컬/preview/production 환경이 분리되는가?,부분,Vercel preview + Supabase test project를 사용하고 production env는 나중에 별도 생성한다.,착수 전
