번호,우선순위,구분,고려사항,핵심 질문,사용자 필수 결정,추천 방안,결정 시점
1,P1,디자인/구현,디자인 handoff 기준,"선택된 시안을 구현 전에 색상, 폰트, 여백, 컴포넌트 구조, 개별 asset, 줄바꿈 기준까지 정리했는가?",부분,"시안 후보는 PNG로 가볍게 보고, 선택된 시안은 구현 전 handoff 패키지로 정리한다.",구현 전
2,P0,디자인/프로세스,시안 후보와 확정 시안의 작업 단계 분리,후보 단계와 구현용 정리 단계를 분리했는가?,예,"후보는 느낌 확인용 PNG로 빠르게 만들고, 선택 후에만 구현용 스펙과 asset 정리를 진행한다.",착수 전
3,P1,테스트데이터,시안 검증용 fixture 데이터,"시안에 나온 숫자, 문구, 상태를 그대로 재현하는 고정 데이터가 있는가?",부분,시안 비교용 fixture와 도메인 로직 검증용 mock 데이터를 분리한다.,구현 전
4,P1,Asset,asset 원본/임시본 구분,"Figma export 원본인지, 시안 crop 임시본인지, 직접 그린 SVG인지 표시되어 있는가?",아니오,asset 파일명 또는 asset plan 문서에 original/export/crop/svg-derived 여부를 기록한다.,구현 중
5,P1,Asset,이미지 품질 기준,"어떤 수준이면 CSS/SVG 재현 가능하고, 어떤 수준이면 PNG asset을 써야 하는가?",부분,"캐릭터, 질감, 그림자, 손그림 느낌이 중요한 요소는 원본 PNG/SVG asset 또는 시안 crop을 우선 사용한다. 단순 선형 아이콘만 코드/SVG 재현을 허용한다.",구현 전
6,P1,검증,화면별 기준 스크린샷 관리,어떤 시안 PNG가 기준이고 구현 캡처와 어디서 비교하는가?,아니오,"work/design/screens의 selected PNG를 기준으로 삼고, 구현 캡처는 work/tmp 또는 별도 검증 폴더에 저장해 비교한다.",구현 중
7,P1,데이터/검증,실제 데이터 화면과 시안 재현 화면의 분리,시안 1:1 비교 화면과 실제 앱 흐름 화면이 분리되어 있는가?,부분,"시안 비교는 고정 fixture를 쓰고, 실제 앱 흐름은 도메인 로직 데이터를 사용한다. 두 경로를 혼동하지 않는다.",구현 전
8,P1,검증,텍스트 길이 스트레스 테스트,"긴 과목명, 학생 이름, 일정명, 코치 문구가 들어가도 화면이 깨지지 않는가?",아니오,"최소 390px에서 긴 텍스트 fixture로 버튼, 카드, 요약 영역의 줄바꿈과 overflow를 확인한다.",구현 중
9,P0,모바일,모바일 기준 폭 명시,"390px만 볼지, 360px까지 볼지 기준이 정해져 있는가?",예,"MVP 기준은 390px로 검증하고, 핵심 버튼/카드만 360px까지 깨지지 않게 본다. 실패 기준은 줄바꿈, 세로글자, 버튼 밖 overflow로 둔다.",착수 전
10,P2,Asset/배포,브라우저 이미지 캐시/최적화 주의,이미지를 바꿨는데 이전 asset이 계속 보이는 문제를 방지했는가?,아니오,Next Image 최적화/브라우저 캐시를 고려해 교체 asset은 새 파일명 또는 version suffix를 사용한다.,배포 전
11,P1,데이터,mock 데이터와 도메인 생성 데이터의 우선순위,화면이 수동 mock을 쓰는지 자동 생성 계획 결과를 쓰는지 명확한가?,부분,"화면 검증은 fixture, 실제 흐름은 service/domain 결과를 쓰도록 경로를 분리하고 문서에 명시한다.",구현 전
12,P1,데이터/표시,자동 생성 계획과 수동 표시값의 경계,"남은 시간, 미션 수, 다음 일정이 계산값인지 시안 표시값인지 구분되어 있는가?",부분,"계산값은 domain/service에서 오고, 시안용 표시값은 fixture에만 둔다. 화면 컴포넌트에서는 둘을 섞지 않는다.",구현 전
13,P1,문서,문서별 책임 명시,"디자인 문제, asset 계획, 진행 체크, 압축 기억이 각각 어디에 기록되는가?",아니오,"20번은 문제/교훈, work/design은 asset과 스펙, 07번은 진행 체크, 90번은 압축 기억으로 역할을 고정한다.",항상
14,P1,배포/검증,배포 후 실제 URL 확인 기준,로컬 캡처뿐 아니라 Vercel 배포 후 모바일에서 확인하는 기준이 있는가?,부분,중요 화면 변경 후 Vercel 배포 완료를 확인하고 실제 모바일 또는 모바일 viewport에서 대표 경로를 점검한다.,배포 후
15,P1,디자인/검증,시안 대비 허용 오차,시안과 구현이 어디까지 달라도 되는지 기준이 있는가?,예,"레이아웃과 정보 구조는 유사하게, asset 질감은 최대한 동일하게 맞춘다. 실제 데이터 값은 시안과 다를 수 있으나 시안 검증 fixture에서는 같게 맞춘다.",구현 전
